Timestamp,mics_Vnox
2024-07-16 14:30:00,533
2024-07-16 14:30:01,533
2024-07-16 14:30:02,533
2024-07-16 14:30:03,533
2024-07-16 14:30:04,533
2024-07-16 14:30:05,533
2024-07-16 14:30:06,533
2024-07-16 14:30:07,533
2024-07-16 14:30:08,533
2024-07-16 14:30:09,534
2024-07-16 14:30:10,534
2024-07-16 14:30:11,534
2024-07-16 14:30:12,534
2024-07-16 14:30:13,534
2024-07-16 14:30:14,534
2024-07-16 14:30:15,534
2024-07-16 14:30:16,534
2024-07-16 14:30:17,534
2024-07-16 14:30:18,534
2024-07-16 14:30:19,534
2024-07-16 14:30:20,534
2024-07-16 14:30:21,534
2024-07-16 14:30:22,534
2024-07-16 14:30:23,534
2024-07-16 14:30:24,534
2024-07-16 14:30:25,534
2024-07-16 14:30:26,534
2024-07-16 14:30:27,534
2024-07-16 14:30:28,534
2024-07-16 14:30:29,534
2024-07-16 14:30:30,534
2024-07-16 14:30:31,534
2024-07-16 14:30:32,534
2024-07-16 14:30:33,534
2024-07-16 14:30:34,534
2024-07-16 14:30:35,533
2024-07-16 14:30:36,533
2024-07-16 14:30:37,533
2024-07-16 14:30:38,533
2024-07-16 14:30:39,533
2024-07-16 14:30:40,533
2024-07-16 14:30:41,533
2024-07-16 14:30:42,533
2024-07-16 14:30:43,533
2024-07-16 14:30:44,533
2024-07-16 14:30:45,533
2024-07-16 14:30:46,533
2024-07-16 14:30:47,533
2024-07-16 14:30:48,533
2024-07-16 14:30:49,533
2024-07-16 14:30:50,533
2024-07-16 14:30:51,533
2024-07-16 14:30:52,533
2024-07-16 14:30:53,533
2024-07-16 14:30:54,533
2024-07-16 14:30:55,533
2024-07-16 14:30:56,533
2024-07-16 14:30:57,533
2024-07-16 14:30:58,533
2024-07-16 14:30:59,533
2024-07-16 14:31:00,533
2024-07-16 14:31:01,533
2024-07-16 14:31:02,533
2024-07-16 14:31:03,533
2024-07-16 14:31:04,533
2024-07-16 14:31:05,533
2024-07-16 14:31:06,533
