Timestamp,mq2,mq3,mq5,mq6,mq8,mq9,mics_Vred,mics_Vnox,mq214,mq2_x,mq3_x,mq5_x,mq6_x,mq8_x,mq9_x,mics_Vred_x,mics_Vnox_x,mq214_x
17:30:00,155,61,60,59,190,82,154,1006,831,817.0,63.0,81.0,56.0,201.0,77.0,364.0,998.0,782.0
17:30:01,1002,62,60,59,189,82,721,1007,830,324.0,63.0,81.0,56.0,201.0,76.0,85.0,998.0,782.0
17:30:02,513,62,60,59,189,82,189,1006,831,149.0,63.0,82.0,56.0,201.0,76.0,0.0,998.0,782.0
17:30:03,160,62,60,59,189,82,277,1006,832,168.0,63.0,82.0,56.0,200.0,76.0,374.0,999.0,780.0
17:30:04,1012,62,60,59,190,82,712,1007,831,701.0,63.0,81.0,56.0,201.0,76.0,733.0,999.0,782.0
17:30:05,353,62,60,59,189,82,119,1006,831,993.0,63.0,82.0,56.0,201.0,76.0,889.0,999.0,782.0
17:30:06,344,62,60,59,189,82,411,1006,831,1016.0,63.0,82.0,56.0,201.0,76.0,756.0,999.0,782.0
17:30:07,1020,62,60,59,189,82,673,1007,831,669.0,63.0,82.0,56.0,200.0,76.0,266.0,998.0,782.0
17:30:08,223,62,60,59,189,82,70,1006,831,242.0,63.0,82.0,56.0,201.0,76.0,45.0,998.0,782.0
17:30:09,466,62,60,59,190,82,467,1006,831,148.0,63.0,82.0,56.0,201.0,76.0,28.0,998.0,783.0
17:30:10,1022,62,60,59,189,82,625,1007,831,391.0,63.0,82.0,56.0,201.0,76.0,576.0,998.0,782.0
17:30:11,183,62,60,59,189,82,41,1006,831,921.0,63.0,82.0,56.0,201.0,76.0,847.0,999.0,781.0
17:30:12,503,62,60,59,189,82,482,1007,831,1017.0,63.0,82.0,56.0,200.0,76.0,785.0,999.0,781.0
17:30:13,1023,62,61,59,189,82,612,1007,831,514.0,63.0,82.0,56.0,200.0,76.0,183.0,998.0,781.0
17:30:14,186,62,60,59,189,82,30,1006,830,136.0,63.0,81.0,56.0,201.0,76.0,0.0,998.0,783.0
